src_ip,dst_ip,src_port,dst_port,protocol,packet_count,byte_count,duration,capture_time,avg_packet_size,packets_per_second,syn_count,ack_count,fin_count,rst_count,syn_ratio,bytes_per_second
192.168.1.100,34.98.110.65,64274,443,6,3,168,3744.782707929611,2026-06-27 11:41:14,56.0,0.0008011145729891011,0,3,2,0,0.0,0.04486241608738966
192.168.1.100,23.65.124.17,65508,443,6,4,270,0.021904468536376953,2026-06-27 10:38:55,67.5,182.61114134575615,0,4,1,1,0.0,12326.252040838539
104.18.32.47,192.168.1.100,443,51230,6,8,4644,0.030724048614501953,2026-06-27 10:39:11,580.5,260.3823506588239,0,8,1,1,0.0,151151.95455744726
104.18.32.47,192.168.1.100,443,56802,6,374,381803,1.9818389415740967,2026-06-27 10:39:12,1020.8636363636364,188.71361953507005,1,374,0,0,0.00267379679144385,192650.87186991537
142.251.223.14,192.168.1.100,443,58701,6,137,136946,1.983351469039917,2026-06-27 10:39:12,999.6058394160584,69.07499862660133,1,137,0,0,0.0072992700729927005,69047.77198480691
192.168.1.100,192.178.211.84,49990,443,6,17,4618,0.1296992301940918,2026-06-27 10:39:11,271.6470588235294,131.07248188412458,0,17,2,0,0.0,35605.45419652278
172.67.223.188,192.168.1.100,443,63207,6,13,6468,1.9791786670684814,2026-06-27 10:39:12,497.53846153846155,6.568381226165565,1,13,2,0,0.07692307692307693,3268.0222900645285
192.168.1.100,34.210.180.80,49669,443,6,2,120,0.001,2026-06-27 10:39:11,60.0,2000.0,1,1,0,1,0.5,120000.0
172.67.223.188,192.168.1.100,443,53704,6,5,3190,0.15894341468811035,2026-06-27 10:39:11,638.0,31.45773613717399,2,4,0,0,0.4,20070.035655517004
192.168.1.100,192.178.211.84,60870,443,6,35,19412,1.4851124286651611,2026-06-27 10:39:11,554.6285714285714,23.567239304204374,2,34,0,0,0.05714285714285714,13071.064267806152
100.20.124.209,192.168.1.100,443,60287,6,2,120,0.001,2026-06-27 10:39:11,60.0,2000.0,1,1,0,1,0.5,120000.0
100.20.124.209,192.168.1.100,443,64522,6,2,120,0.001,2026-06-27 10:39:11,60.0,2000.0,1,1,0,1,0.5,120000.0
100.20.124.209,192.168.1.100,443,51423,6,2,120,0.001,2026-06-27 10:39:11,60.0,2000.0,1,1,0,1,0.5,120000.0
100.20.124.209,192.168.1.100,443,57265,6,2,120,0.001,2026-06-27 10:39:11,60.0,2000.0,1,1,0,1,0.5,120000.0
100.20.124.209,192.168.1.100,443,50417,6,2,120,0.001,2026-06-27 10:39:11,60.0,2000.0,1,1,0,1,0.5,120000.0
192.168.1.100,34.210.180.80,62419,443,6,9,6292,1.673964500427246,2026-06-27 10:39:12,699.1111111111111,5.3764581015325765,1,9,0,0,0.1111111111111111,3758.7415972047747
100.20.124.209,192.168.1.100,443,63420,6,2,120,0.001,2026-06-27 10:39:11,60.0,2000.0,1,1,0,1,0.5,120000.0
100.20.124.209,192.168.1.100,443,52962,6,3,1682,0.0026471614837646484,2026-06-27 10:39:11,560.6666666666666,1133.2893812483112,1,3,0,0,0.3333333333333333,635397.5797532198
100.20.124.209,192.168.1.100,443,53150,6,3,1682,0.0027282238006591797,2026-06-27 10:39:11,560.6666666666666,1099.6165341256662,1,3,0,0,0.3333333333333333,616518.3367997903
100.20.124.209,192.168.1.100,443,60800,6,3,1682,0.003553152084350586,2026-06-27 10:39:11,560.6666666666666,844.3207407904449,1,3,0,0,0.3333333333333333,473382.4953365094
100.20.124.209,192.168.1.100,443,51866,6,3,1682,0.0033273696899414062,2026-06-27 10:39:11,560.6666666666666,901.6130696474635,1,3,0,0,0.3333333333333333,505504.3943823445
100.20.124.209,192.168.1.100,443,62192,6,3,1682,0.002187967300415039,2026-06-27 10:39:11,560.6666666666666,1371.1356652500817,1,3,0,0,0.3333333333333333,768750.0629835458
100.20.124.209,192.168.1.100,443,57915,6,3,1682,0.0019941329956054688,2026-06-27 10:39:11,560.6666666666666,1504.413199426112,1,3,0,0,0.3333333333333333,843474.3338115735
192.168.1.1,192.168.1.100,53,62908,17,2,199,0.0060274600982666016,2026-06-27 10:39:12,99.5,331.8147225188877,0,0,0,0,0.0,33015.56489062933
192.168.1.1,192.168.1.100,53,61704,17,2,557,0.029930830001831055,2026-06-27 10:39:12,278.5,66.82073299930698,0,0,0,0,0.0,18609.574140306995
172.217.194.119,192.168.1.100,443,57517,6,1,66,0.001,2026-06-27 10:39:12,66.0,1000.0,1,0,0,0,1.0,66000.0
103.190.198.74,192.168.1.100,443,64676,6,2315,2392567,346.8661427497864,2026-06-27 10:45:25,1033.5062634989201,6.674044291690748,2,2314,0,0,0.0008639308855291577,6897.666578331602
172.67.168.245,192.168.1.100,443,63493,6,1,78,0.001,2026-06-27 10:39:38,78.0,1000.0,0,1,1,0,0.0,78000.0
108.157.238.13,192.168.1.100,443,65322,17,2,2484,0.001,2026-06-27 10:40:01,1242.0,2000.0,0,0,0,0,0.0,2484000.0
103.190.198.72,192.168.1.100,443,63615,6,766,717244,12.180194854736328,2026-06-27 10:40:13,936.3498694516971,62.888977486442855,2,765,0,0,0.0026109660574412533,58886.085859381485
142.251.223.14,192.168.1.100,443,64669,6,237,220161,96.99954533576965,2026-06-27 10:41:38,928.9493670886076,2.443310421503632,0,237,0,0,0.0,2269.7116696567978
142.250.76.202,192.168.1.100,443,53252,17,1,1292,0.001,2026-06-27 10:40:01,1292.0,1000.0,0,0,0,0,0.0,1292000.0
172.217.194.119,192.168.1.100,443,54096,6,45,37920,177.16422080993652,2026-06-27 10:42:59,842.6666666666666,0.25400162512653407,0,45,0,0,0.0,214.0387027732927
108.157.238.13,192.168.1.100,443,62165,6,79,51361,0.5123558044433594,2026-06-27 10:40:02,650.1392405063291,154.18972384987083,0,79,0,0,0.0,100244.78995763564
192.168.1.1,192.168.1.100,53,52562,17,2,269,0.003725767135620117,2026-06-27 10:40:02,134.5,536.8022013182313,0,0,0,0,0.0,72199.89607730211
192.168.1.1,192.168.1.100,53,64739,17,2,483,0.0071070194244384766,2026-06-27 10:40:02,241.5,281.4119225737193,0,0,0,0,0.0,67960.97930155322
172.217.141.201,192.168.1.100,443,56023,6,13,7838,0.1614971160888672,2026-06-27 10:40:03,602.9230769230769,80.49679347120029,2,12,0,0,0.15384615384615385,48533.37440209753
172.217.141.201,192.168.1.100,443,56915,17,8,9088,0.029912710189819336,2026-06-27 10:40:02,1136.0,267.44484031148625,0,0,0,0,0.0,303817.3385938484
192.168.1.100,99.86.147.37,56690,443,17,2,2484,0.001,2026-06-27 10:40:11,1242.0,2000.0,0,0,0,0,0.0,2484000.0
172.67.223.188,192.168.1.100,443,58798,6,41,32714,136.6089437007904,2026-06-27 10:42:28,797.9024390243902,0.30012676248929065,0,41,0,0,0.0,239.47187580669888
100.20.124.209,192.168.1.100,443,51724,6,18,6051,55.63679504394531,2026-06-27 10:41:07,336.1666666666667,0.3235269031183861,1,18,1,0,0.05555555555555555,108.75896059829746
192.168.1.1,192.168.1.100,53,62001,17,4,806,0.4588632583618164,2026-06-27 10:40:12,201.5,8.717193907135568,0,0,0,0,0.0,1756.514572287817
142.251.43.131,192.168.1.100,80,51725,6,9,4245,0.43779945373535156,2026-06-27 10:40:12,471.6666666666667,20.55735776555005,2,8,0,0,0.2222222222222222,9696.220412751107
100.20.124.209,192.168.1.100,443,57227,6,20,12213,0.6574571132659912,2026-06-27 10:40:12,610.65,30.420235170394278,0,20,0,0,0.0,18576.116606801264
192.168.1.100,99.86.147.105,63350,443,17,2,2484,0.001,2026-06-27 10:40:11,1242.0,2000.0,0,0,0,0,0.0,2484000.0
